transaction_id,customer_id,transaction_amount,transaction_hour,merchant_category,customer_tenure_days,num_transactions_24h,num_failed_transactions_24h,avg_transaction_amount_30d,is_foreign_transaction,device_type,country,previous_chargebacks,account_age_days,risk_score_external
33554,324,74.61,9,restaurant,3344,1,0,77.2,False,desktop,CA,0,3719,0.0
9428,1057,34.56,5,travel,1641,2,0,33.36,False,mobile,US,0,1693,0.0035
200,7003,159.11,23,grocery,3541,1,0,224.63,False,desktop,US,0,3883,0.0
12448,3720,24.0,11,entertainment,960,1,1,12.44,False,mobile,US,0,1004,0.1213
39490,3090,13.21,3,restaurant,1707,0,0,34.67,False,desktop,BR,1,1810,0.0002
42725,6493,159.14,19,grocery,1082,3,0,22.44,False,tablet,US,0,1275,0.0572
10823,3947,42.13,14,fashion,86,2,0,80.17,False,mobile,FR,0,423,0.3413
49499,1686,17.26,2,grocery,1899,2,0,16.89,False,mobile,BR,0,2007,0.0035
4145,5353,114.43,12,grocery,444,1,0,111.07,False,mobile,IN,0,551,0.0923
36959,1868,97.0,1,fashion,2775,1,1,69.33,False,desktop,FR,0,2874,0.0005
43107,5438,29.15,4,electronics,45,3,0,26.82,False,pos,US,0,352,0.8323
38696,2422,49.9,5,fashion,2767,1,0,44.34,False,pos,US,0,2779,0.0003
6189,3794,120.75,18,gambling,2394,2,1,67.44,False,mobile,GB,0,2764,0.0017
1415,2057,8.33,0,fashion,2682,2,0,5.5,False,mobile,US,0,2909,0.0
18472,9232,14.36,0,gambling,1047,2,0,18.46,False,desktop,FR,0,1222,0.0698
29283,1166,6.66,7,electronics,384,0,1,8.7,False,mobile,CA,1,513,0.423
15178,4964,148.89,8,restaurant,858,1,0,103.28,False,mobile,RU,0,1224,0.0687
34305,9002,22.38,21,electronics,69,1,0,28.6,False,mobile,RU,0,345,0.0637
12610,2133,15.97,6,travel,1897,1,0,17.81,False,mobile,US,0,2020,0.0004
12145,7510,20.86,14,restaurant,1696,2,1,19.72,False,desktop,US,0,1750,0.0354
6114,5654,10.29,2,fashion,1699,2,0,16.44,False,mobile,US,0,2015,0.0068
15909,4593,64.66,16,restaurant,266,0,0,106.03,False,mobile,FR,0,522,0.146
822,1717,118.97,8,restaurant,2358,1,0,152.9,False,mobile,US,0,2536,0.0001
15119,8644,30.69,12,grocery,2011,2,0,41.97,False,desktop,US,0,2123,0.0005
13467,790,19.15,10,travel,45,1,0,20.66,False,pos,US,0,218,0.8291
26498,2496,368.58,3,grocery,750,1,0,31.55,False,mobile,IN,0,1135,0.536
42112,9919,16.22,2,restaurant,2454,4,0,24.36,False,mobile,US,0,2502,0.0009
30189,4152,46.77,15,utilities,1938,2,0,66.85,False,mobile,US,0,2122,0.0008
