transaction_id,customer_id,transaction_amount,transaction_hour,customer_tenure_days,num_transactions_24h,num_failed_transactions_24h,avg_transaction_amount_30d,previous_chargebacks,account_age_days,risk_score_external,amount_to_customer_avg_ratio,failed_transaction_rate_24h,high_velocity_flag,has_previous_chargeback,merchant_category,device_type,country,is_foreign_transaction,is_fraud
1,6818,137.15,15,1847,1,1,140.84,2,2199,0.0007,0.9738000568020448,1.0,0,1,fashion,mobile,US,False,0
2,2161,21.63,22,2954,1,0,42.36,0,2981,0.0,0.5106232294617563,0.0,0,0,grocery,desktop,US,False,0
3,2278,19.15,22,188,0,1,18.21,0,261,0.4126,1.0516199890170235,0.0,0,0,fashion,mobile,GB,False,0
4,8347,54.76,2,925,4,1,36.12,0,1030,0.6808,1.5160575858250278,0.25,0,0,entertainment,pos,GB,False,0
5,4153,59.96,21,3329,0,0,78.17,0,3654,0.0,0.7670461813995139,0.0,0,0,utilities,pos,IN,False,0
6,4930,149.4,4,810,0,0,129.5,0,1191,0.073,1.1536679536679537,0.0,0,0,restaurant,desktop,US,False,0
7,3920,83.93,23,2241,2,0,74.55,0,2604,0.0007,1.1258215962441316,0.0,0,0,restaurant,mobile,CN,False,0
8,1825,9.18,15,2821,0,0,6.15,0,3042,0.0,1.492682926829268,0.0,0,0,entertainment,pos,US,True,0
9,4328,185.62,2,1552,1,0,185.77,1,1871,0.0388,0.9991925499273294,0.0,0,1,restaurant,desktop,US,False,0
10,2693,18.43,5,3322,0,1,24.73,0,3708,0.0,0.7452486858067124,0.0,0,0,fashion,mobile,IN,False,0
11,2948,86.32,11,1817,0,0,51.27,0,2044,0.0082,1.6836356543787787,0.0,0,0,grocery,mobile,US,False,0
12,2010,19.59,20,2308,0,0,18.93,0,2332,0.0003,1.0348652931854199,0.0,0,0,grocery,tablet,US,False,0
13,6259,18.04,8,2676,1,1,7.01,1,3065,0.0003,2.5734664764621966,1.0,0,1,grocery,desktop,BR,False,0
14,2865,56.89,9,317,2,0,83.54,0,443,0.4211,0.6809911419679195,0.0,0,0,travel,mobile,CA,False,0
15,1655,254.61,17,571,3,0,188.63,0,862,0.157,1.349785293961724,0.0,0,0,travel,mobile,US,False,0
16,8066,117.47,10,2338,2,2,53.65,0,2497,0.003,2.1895619757688722,1.0,0,0,travel,mobile,DE,False,0
17,5724,119.84,1,1918,2,0,12.12,0,1933,0.0181,9.887788778877889,0.0,0,0,entertainment,mobile,DE,False,0
18,8588,106.52,0,2154,0,0,16.67,0,2186,0.0019,6.38992201559688,0.0,0,0,utilities,desktop,US,False,0
19,7787,1004.55,10,2600,2,0,535.79,0,2686,0.0021,1.8748950148379029,0.0,0,0,entertainment,mobile,US,False,0
20,3656,20.84,2,1758,1,0,23.25,0,2102,0.0022,0.8963440860215054,0.0,0,0,restaurant,desktop,US,False,0
21,5581,20.95,7,1968,1,0,20.86,0,2113,0.0003,1.00431447746884,0.0,0,0,restaurant,desktop,US,False,0
22,9872,19.66,6,562,3,0,31.09,1,678,0.5636,0.632357671276938,0.0,0,1,fashion,desktop,CA,False,0
23,3514,116.04,12,515,2,1,82.74,0,834,0.512,1.4024655547498188,0.5,0,0,restaurant,mobile,US,False,0
24,2379,70.98,16,3606,1,0,64.23,0,3918,0.0,1.105091078935077,0.0,0,0,travel,mobile,FR,False,0
