transaction_id,customer_id,transaction_amount,transaction_hour,merchant_category,customer_tenure_days,num_transactions_24h,num_failed_transactions_24h,avg_transaction_amount_30d,is_foreign_transaction,device_type,country,previous_chargebacks,account_age_days,risk_score_external,is_fraud
1,6818,137.15,15,fashion,1847,1,1,140.84,False,mobile,US,2,2199,0.0007,0
2,2161,21.63,22,grocery,2954,1,0,42.36,False,desktop,US,0,2981,0.0,0
3,2278,19.15,22,fashion,188,0,1,18.21,False,mobile,GB,0,261,0.4126,0
4,8347,54.76,2,entertainment,925,4,1,36.12,False,pos,GB,0,1030,0.6808,0
5,4153,59.96,21,utilities,3329,0,0,78.17,False,pos,IN,0,3654,0.0,0
6,4930,149.4,4,restaurant,810,0,0,129.5,False,desktop,US,0,1191,0.073,0
7,3920,83.93,23,restaurant,2241,2,0,74.55,False,mobile,CN,0,2604,0.0007,0
8,1825,9.18,15,entertainment,2821,0,0,6.15,True,pos,US,0,3042,0.0,0
9,4328,185.62,2,restaurant,1552,1,0,185.77,False,desktop,US,1,1871,0.0388,0
10,2693,18.43,5,fashion,3322,0,1,24.73,False,mobile,IN,0,3708,0.0,0
11,2948,86.32,11,grocery,1817,0,0,51.27,False,mobile,US,0,2044,0.0082,0
12,2010,19.59,20,grocery,2308,0,0,18.93,False,tablet,US,0,2332,0.0003,0
13,6259,18.04,8,grocery,2676,1,1,7.01,False,desktop,BR,1,3065,0.0003,0
14,2865,56.89,9,travel,317,2,0,83.54,False,mobile,CA,0,443,0.4211,0
15,1655,254.61,17,travel,571,3,0,188.63,False,mobile,US,0,862,0.157,0
16,8066,117.47,10,travel,2338,2,2,53.65,False,mobile,DE,0,2497,0.003,0
17,5724,119.84,1,entertainment,1918,2,0,12.12,False,mobile,DE,0,1933,0.0181,0
18,8588,106.52,0,utilities,2154,0,0,16.67,False,desktop,US,0,2186,0.0019,0
19,7787,1004.55,10,entertainment,2600,2,0,535.79,False,mobile,US,0,2686,0.0021,0
20,3656,20.84,2,restaurant,1758,1,0,23.25,False,desktop,US,0,2102,0.0022,0
21,5581,20.95,7,restaurant,1968,1,0,20.86,False,desktop,US,0,2113,0.0003,0
22,9872,19.66,6,fashion,562,3,0,31.09,False,desktop,CA,1,678,0.5636,0
23,3514,116.04,12,restaurant,515,2,1,82.74,False,mobile,US,0,834,0.512,0
24,2379,70.98,16,travel,3606,1,0,64.23,False,mobile,FR,0,3918,0.0,0
25,1628,36.53,7,grocery,2134,1,0,20.24,False,mobile,RU,0,2420,0.0009,0
26,9420,124.64,16,electronics,1265,1,0,240.6,False,mobile,BR,0,1510,0.0144,0
27,2485,4.35,6,grocery,1255,3,0,5.94,False,desktop,CA,0,1425,0.007,0
28,9287,82.75,21,electronics,1585,3,0,71.31,False,mobile,GB,1,1982,0.0193,0
29,5893,62.13,10,fashion,458,3,0,75.68,False,desktop,US,0,752,0.1427,0
30,5873,27.91,11,other,2693,1,1,25.4,False,mobile,US,0,2748,0.0,0
31,3955,486.86,21,entertainment,2165,1,0,83.15,False,mobile,RU,0,2513,0.0003,0
32,3908,15.44,15,electronics,3542,3,0,23.41,False,mobile,US,0,3794,0.0,0
33,3159,93.35,10,travel,2438,1,1,87.73,False,desktop,NG,0,2443,0.0008,0
34,7259,13.72,10,utilities,523,1,0,11.78,False,desktop,US,0,854,0.1845,0
35,7365,1552.62,3,restaurant,3616,2,0,399.61,False,mobile,FR,1,3863,0.0,0
36,5259,26.53,11,crypto,2444,1,0,22.5,False,mobile,US,0,2596,0.0003,0
37,4430,161.9,23,utilities,3367,0,1,40.8,False,pos,GB,0,3693,0.0,0
38,6348,26.07,16,entertainment,3594,2,0,34.57,False,mobile,BR,0,3809,0.0,0
39,4854,9.42,14,utilities,251,1,0,7.42,False,pos,US,0,648,0.3772,0
40,8225,83.38,10,grocery,3251,1,0,88.3,False,mobile,US,1,3546,0.0001,0
41,642,322.9,14,grocery,3345,3,0,223.77,False,tablet,BR,1,3379,0.0,0
42,9034,42.13,16,crypto,1574,0,0,31.86,False,mobile,BR,1,1927,0.009,0
43,5183,20.99,2,gambling,2326,2,0,23.84,False,mobile,FR,0,2575,0.0002,0
44,5018,132.76,3,fashion,1944,1,0,116.92,False,mobile,NG,1,2192,0.0016,0
45,3859,22.89,21,entertainment,1188,1,1,18.73,False,mobile,US,1,1207,0.1563,0
46,5269,27.43,11,entertainment,2552,1,0,22.08,False,desktop,US,0,2696,0.0006,0
47,2184,160.65,9,electronics,2354,0,0,74.15,False,desktop,GB,0,2400,0.0007,0
48,4909,19.53,21,electronics,2915,2,1,17.74,False,mobile,US,0,3208,0.0,0
49,3931,701.51,20,travel,2588,0,0,133.42,True,mobile,FR,1,2960,0.0001,0
50,2918,20.74,14,entertainment,3452,0,0,34.5,False,pos,BR,0,3656,0.0,0
51,2120,46.24,11,restaurant,2561,4,0,48.24,False,pos,US,0,2915,0.0002,0
52,8602,47.1,12,restaurant,1723,2,0,48.79,False,pos,US,0,2038,0.0069,0
53,8499,25.43,3,entertainment,2201,0,0,27.93,False,mobile,IN,0,2269,0.0028,0
54,4799,154.37,17,crypto,1427,4,0,151.1,False,mobile,BR,0,1506,0.0686,0
55,2294,44.45,10,restaurant,2734,0,0,45.36,True,desktop,BR,0,3043,0.0003,0
56,4447,430.73,18,electronics,1124,2,1,87.17,False,desktop,DE,0,1441,0.4977,0
57,9268,16.24,6,utilities,991,1,0,23.78,False,tablet,US,0,1119,0.0316,0
58,7769,27.95,14,fashion,1038,4,0,21.45,False,desktop,US,0,1096,0.0283,0
59,8057,52.53,5,restaurant,2197,3,0,28.88,False,pos,US,0,2568,0.0013,0
60,6987,50.04,17,grocery,1933,1,0,43.8,False,desktop,US,0,1934,0.0007,0
61,7214,19.34,2,utilities,523,1,1,17.52,False,mobile,CN,0,611,0.0553,0
62,1493,14.3,16,gambling,107,3,0,13.73,False,tablet,US,0,108,0.3744,0
63,3402,97.32,11,utilities,3351,2,0,102.77,False,desktop,US,0,3444,0.0,0
64,8306,89.99,17,electronics,1599,1,0,120.36,False,desktop,DE,3,1807,0.0058,0
65,1779,6.62,14,travel,1124,4,0,4.73,False,tablet,US,0,1508,0.082,0
66,743,39.76,8,entertainment,2316,2,0,47.62,False,tablet,US,1,2512,0.0006,0
67,8456,42.65,3,other,645,1,1,37.95,False,desktop,IN,0,955,0.3983,0
68,7782,45.77,1,grocery,520,3,0,58.99,False,mobile,IN,0,833,0.0779,0
69,1578,24.38,21,electronics,2918,1,1,35.13,False,pos,US,2,3242,0.0,0
70,5225,121.0,8,restaurant,1928,2,0,189.49,False,mobile,US,0,1967,0.0006,0
71,425,44.65,10,grocery,1523,1,0,38.9,False,mobile,CA,0,1579,0.0071,0
72,1485,227.32,3,restaurant,1514,1,1,187.47,False,tablet,US,0,1859,0.0392,0
73,2562,158.12,2,travel,1310,3,0,131.75,False,mobile,US,0,1617,0.0306,0
74,6998,174.67,0,fashion,1431,2,0,146.64,False,mobile,DE,0,1653,0.007,0
75,3002,60.9,21,fashion,2453,2,0,70.16,False,tablet,DE,0,2818,0.0002,0
76,8088,18.29,8,restaurant,3375,0,0,22.0,False,mobile,NG,0,3617,0.0,0
77,242,139.95,14,grocery,2132,0,1,127.65,False,pos,US,1,2381,0.0011,0
78,46,15.57,9,restaurant,3544,2,0,10.49,False,desktop,US,0,3895,0.0,0
79,2944,13.44,2,grocery,686,0,0,15.48,False,mobile,BR,0,928,0.0357,0
80,7273,755.72,23,entertainment,2073,1,0,99.92,False,pos,US,1,2332,0.0081,0
81,9520,12.13,22,crypto,3403,0,1,6.6,False,desktop,US,1,3500,0.0,0
82,3103,43.12,21,entertainment,53,1,0,48.07,False,mobile,US,0,195,0.3405,0
83,5531,12.63,12,grocery,2159,2,0,16.27,True,desktop,IN,0,2276,0.0003,0
84,423,13.02,20,utilities,2797,2,0,11.5,False,desktop,US,0,3144,0.0,0
85,15,2.95,5,travel,2619,1,0,2.45,False,pos,IN,0,2893,0.0008,0
86,160,122.63,4,entertainment,2862,1,0,41.94,True,mobile,IN,0,3148,0.0002,0
87,963,197.63,14,electronics,3067,2,0,149.09,False,mobile,CN,0,3102,0.0001,0
88,8740,73.79,2,grocery,1577,1,0,62.52,False,mobile,US,0,1885,0.0036,0
89,6412,23.12,22,travel,1521,1,0,25.32,False,desktop,DE,0,1669,0.0131,0
90,8983,57.94,7,fashion,3167,4,0,56.43,False,tablet,US,0,3338,0.0,0
91,8338,40.78,21,grocery,1959,2,1,76.02,False,mobile,GB,0,2024,0.002,0
